class,conf,x1,y1,x2,y2
T3_ORE,0.37,184,416,321,542
T3_ORE,0.33,704,369,829,473
T3_FIBER,0.83,1344,509,1465,607
T3_FIBER,0.79,1447,687,1564,802
T3_FIBER,0.94,1545,824,1677,929
T3_FIBER,0.66,1437,613,1569,721
T3_ORE,0.52,768,684,1010,811
T3_ORE,0.33,857,598,1070,796
T3_FIBER,0.39,861,195,953,283
T3_FIBER,0.95,1219,537,1344,632
T3_FIBER,0.94,309,413,427,495
T3_FIBER,0.89,1038,989,1206,1113
T3_ORE,0.62,1066,26,1221,164
T3_ORE,0.47,962,-1,1064,69
T3_FIBER,0.90,1534,428,1656,517
T3_ORE,0.72,651,51,808,184
T3_ORE,0.48,554,0,659,89
T3_FIBER,0.77,1075,647,1236,747
T3_ORE,0.74,207,189,375,335
T3_FIBER,0.70,439,745,565,850
